"FECHA DE ATENCIÓN","SERVICIO DE ATENCIÓN","N° DE RECETAS","N° PRESCRIPCIONES","Controlados (Receta Blanca)","Controlados (Receta verde)","TIPO DE ATENCIÓN","ÁREA"
"7-05-2024","Medicina","6","28","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"7-05-2024","Urgencia","293","491","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"8-05-2024","Mater","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"8-05-2024","UPC UTI (4-12)","2","2","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"8-05-2024","Recuperación","1","5","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"8-05-2024","Pabellón","2","7","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"8-05-2024","Dental","5","6","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"8-05-2024","Urgencia","2","4","9","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
"8-05-2024","Medicina","6","16","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"8-05-2024","Alta","13","33","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"8-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","20","44","5","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"8-05-2024","Controlados","41","41","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"8-05-2024","Med. General Policlínico Crónicos (+ de 1 mes)","38","60","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"8-05-2024","Med. Especialidad Morbilidad (1 mes o menos)","40","56","10","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"8-05-2024","Med. Especialidad crónico (+ de 1 mes)","392","1137","17","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"8-05-2024","HODOM","2","4","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Endoscopía","3","3","2","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Recuperación","6","13","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Pabellón","3","23","5","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Controlados","20","20","0","","ATENCIÓN ABIERTA","Farmacia de Atención Cerrada"
"8-05-2024","Alta","9","33","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Mater","15","38","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Pediatria","13","68","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","UPC UTI (4-12)","10","71","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Medicina","40","224","11","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"8-05-2024","Pediatria","1","2","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"8-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","2","2","0","","ATENCIÓN ABIERTA","Farmacia de Urgencia"
"8-05-2024","Mater","3","7","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"8-05-2024","Alta","2","9","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"8-05-2024","Pabellón","2","19","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"8-05-2024","Medicina","14","35","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"8-05-2024","Urgencia","246","390","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"9-05-2024","UPC UTI (4-12)","1","2","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"9-05-2024","Mater","7","11","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"9-05-2024","Alta","4","20","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"9-05-2024","Urgencia","4","7","16","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
"9-05-2024","Medicina","5","19","8","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"9-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","20","26","3","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"9-05-2024","Pabellón","4","33","14","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"9-05-2024","Med. General Policlínico Crónicos (+ de 1 mes)","26","59","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"9-05-2024","Med. Especialidad Morbilidad (1 mes o menos)","39","52","6","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"9-05-2024","Controlados","65","65","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"9-05-2024","Med. Especialidad crónico (+ de 1 mes)","226","704","16","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"9-05-2024","Endoscopía","1","1","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","HODOM","2","2","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","C. Paliativos","2","2","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","Recuperación","3","8","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","Controlados","17","17","0","","ATENCIÓN ABIERTA","Farmacia de Atención Cerrada"
"9-05-2024","Mater","10","26","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","Alta","13","54","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","Pediatria","8","63","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","Pabellón","11","59","7","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","UPC UTI (4-12)","14","74","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","Medicina","41","214","7","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"9-05-2024","Alta","3","9","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"9-05-2024","Mater","5","8","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"9-05-2024","Recuperación","3","15","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"9-05-2024","Pabellón","3","16","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"9-05-2024","Medicina","7","21","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"9-05-2024","Urgencia","243","451","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"10-05-2024","Pediatria","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"10-05-2024","UPC UTI (4-12)","2","4","3","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"10-05-2024","Dental","5","6","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"10-05-2024","Recuperación","2","10","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"10-05-2024","Urgencia","2","3","12","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
"10-05-2024","Mater","6","11","1","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"10-05-2024","Med. General Policlínico Morbilidad (1 mes o menos)","12","14","2","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"10-05-2024","Alta","8","22","0","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"10-05-2024","Pabellón","2","16","13","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"10-05-2024","Medicina","8","23","6","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
